utime (s),X (G),Y (G),Z (G)
1713036728.456376,0.328125,0.1826171875,0.9375
1713036728.4690022,0.3173828125,0.1796875,0.9599609375
1713036728.4816067,0.328125,0.15625,0.955078125
1713036728.4942143,0.3388671875,0.1650390625,0.9658203125
1713036728.5068226,0.3369140625,0.1650390625,0.9521484375
1713036728.5194297,0.353515625,0.1611328125,0.9677734375
1713036728.5320373,0.3671875,0.1708984375,0.9921875
1713036728.5446444,0.3564453125,0.162109375,0.9853515625
1713036728.5572493,0.33984375,0.162109375,0.9580078125
1713036728.569855,0.34375,0.1640625,0.9482421875
1713036728.5824625,0.3525390625,0.1513671875,0.95703125
1713036728.5950685,0.3564453125,0.1396484375,1.0078125
1713036728.6076722,0.3603515625,0.1533203125,0.974609375
1713036728.6202784,0.36328125,0.1337890625,0.943359375
1713036728.6328847,0.3564453125,0.1455078125,0.9541015625
1713036728.6454892,0.353515625,0.162109375,0.935546875
1713036728.6580956,0.349609375,0.1640625,0.9462890625
1713036728.670702,0.3388671875,0.169921875,0.9228515625
1713036728.6833084,0.3369140625,0.171875,0.9599609375
1713036728.695914,0.33203125,0.1748046875,0.9580078125
1713036728.708521,0.32421875,0.18359375,0.9619140625
1713036728.721128,0.33203125,0.1591796875,0.9677734375
1713036728.7337332,0.33984375,0.1689453125,0.9716796875
1713036728.7463381,0.33203125,0.1630859375,0.96875
1713036728.758944,0.3291015625,0.1728515625,0.9599609375
1713036728.7715487,0.32421875,0.1875,0.970703125
1713036728.7841544,0.3310546875,0.177734375,0.9658203125
1713036728.7967598,0.3349609375,0.18359375,0.94921875
1713036728.809365,0.337890625,0.1787109375,0.9580078125
1713036728.8219707,0.3349609375,0.1640625,0.9619140625
1713036728.834576,0.328125,0.19140625,0.9609375
1713036728.8471813,0.3359375,0.17578125,0.9775390625
1713036728.8597856,0.3369140625,0.16796875,0.912109375
1713036728.8723927,0.3359375,0.17578125,0.9404296875
1713036728.8849986,0.3447265625,0.1923828125,0.962890625
1713036728.897604,0.3330078125,0.177734375,0.9755859375
1713036728.9102101,0.330078125,0.1845703125,0.9345703125
1713036728.9228213,0.3427734375,0.171875,0.955078125
1713036728.9354281,0.3466796875,0.1865234375,0.951171875
1713036728.948034,0.3349609375,0.18359375,0.9765625
1713036728.9606392,0.333984375,0.1865234375,0.9677734375
1713036728.9732475,0.337890625,0.1962890625,0.978515625
1713036728.9858553,0.291015625,0.189453125,0.9501953125
1713036728.9984622,0.318359375,0.1796875,0.9580078125
1713036729.0110714,0.3173828125,0.2080078125,0.974609375
1713036729.023678,0.3759765625,0.1650390625,0.9677734375
1713036729.0362842,0.3017578125,0.1884765625,0.974609375
1713036729.0488908,0.3076171875,0.185546875,0.9697265625
1713036729.0614982,0.3154296875,0.2001953125,0.947265625
1713036729.0741048,0.2919921875,0.2314453125,0.92578125
1713036729.087411,0.3037109375,0.2451171875,0.9716796875
1713036729.1013222,0.2880859375,0.2265625,0.9345703125
1713036729.1152341,0.28125,0.2265625,0.8857421875
1713036729.1291456,0.2958984375,0.2255859375,0.96484375
1713036729.143057,0.2958984375,0.2255859375,0.953125
1713036729.1569686,0.3037109375,0.2099609375,0.998046875
1713036729.1708796,0.322265625,0.1787109375,1.0126953125
1713036729.184789,0.3564453125,0.154296875,1.0009765625
1713036729.1989295,0.3427734375,0.13671875,0.9912109375
1713036729.2131507,0.3349609375,0.1455078125,0.986328125
1713036729.2273712,0.3564453125,0.1318359375,0.9990234375
1713036729.24159,0.357421875,0.1298828125,0.962890625
1713036729.2558088,0.3583984375,0.1533203125,0.9423828125
1713036729.2700233,0.3759765625,0.1455078125,0.9052734375
1713036729.2842422,0.37109375,0.1552734375,0.884765625
1713036729.29849,0.380859375,0.140625,0.923828125
